vector_size,window,min_count,sg,moor_variance_mean_sim,moor_mean_std,moor_sim_range,moor_trend_strength,moor_n_decades,moor_coverage,inboorling_variance_mean_sim,inboorling_mean_std,inboorling_sim_range,inboorling_trend_strength,inboorling_n_decades,inboorling_coverage,total_records,avg_coverage
100,3,1,0,0.0005529548262345083,0.04926332730748312,0.08131471920820532,0.15108067846253168,10,1.0,0.02385146659895169,0.27986919695539025,0.45110467338324345,0.4547886478982957,10,1.0,20,1.0
100,3,1,1,0.00014203792118702572,0.03374543014859727,0.03736548203310952,0.3229751555156849,10,1.0,0.014858536588886972,0.15062086868128433,0.34206984263954954,0.27212410221017735,10,1.0,20,1.0
100,3,2,0,0.0002650052926123383,0.04246958420513403,0.056918986574751584,0.6691020603151884,10,1.0,0.01677467392849119,0.18120351099151263,0.3908108732928622,0.498112366529827,10,1.0,20,1.0
100,3,2,1,0.00010627944834112164,0.026591695706084363,0.037332907206192645,0.41098286603286294,10,1.0,0.0007684883458209169,0.04524601545619635,0.1096181013737959,0.6081209378761067,10,1.0,20,1.0
100,3,3,0,0.0009329324588246609,0.061161589719031836,0.09114634665426613,0.4900247168745341,10,1.0,0.01673456360210612,0.183986217378708,0.38450342775437985,0.4059248133153744,10,1.0,20,1.0
100,3,3,1,0.00031653111741175084,0.03654617258742042,0.06766814020445733,0.3950494636327626,10,1.0,0.002663042474670461,0.0713392686294388,0.15652354751542874,0.5672165358305052,10,1.0,20,1.0
100,3,4,0,0.0031216134524000524,0.11722205532661109,0.16898817902884622,0.5484837408584293,10,1.0,0.03559351085733292,0.21266152083975962,0.4671103132207077,0.3044041013501903,10,1.0,20,1.0
100,3,4,1,0.001276825225744668,0.07305067966576236,0.10584446658658908,0.4167624814622687,10,1.0,0.019818118315022417,0.15972901840662132,0.43394469415548764,0.5190651607090899,10,1.0,20,1.0
100,3,5,0,0.006201339263571847,0.16386923789066257,0.22949332411089707,0.5524756842585261,10,1.0,0.048312873829986204,0.24939531037707247,0.5101616869303549,0.23016096030209407,10,1.0,20,1.0
100,3,5,1,0.005475704442436606,0.13566321952602226,0.21743385566305173,0.5488581103482214,10,1.0,0.033785129234767744,0.2115661241459219,0.4962030648743813,0.3896452603484106,10,1.0,20,1.0
100,5,1,0,0.0004661081971798017,0.05225265586273511,0.06719885459493569,0.05593171312853189,10,1.0,0.025080373734879712,0.2412058284666975,0.45459933344996717,0.3897465022304405,10,1.0,20,1.0
100,5,1,1,0.00020453027348226547,0.026683314345597075,0.05077377373373415,0.07981725587909148,10,1.0,0.0015107950436962663,0.05714966111114154,0.14224295482361538,0.3766900990388611,10,1.0,20,1.0
100,5,2,0,9.505287158857438e-05,0.031015353958394463,0.02860849111564867,0.39996469510498284,10,1.0,0.010079578738070121,0.13735321815833282,0.3191029905910053,0.4869114429648395,10,1.0,20,1.0
100,5,2,1,0.00011164774093782478,0.030250278483686728,0.0314608989697025,0.39097839585183763,10,1.0,0.00038538591965663245,0.0421713484647719,0.05689089552036086,0.23441760386311658,10,1.0,20,1.0
100,5,3,0,0.000852367624949169,0.05636331644106611,0.08544117791385863,0.5247933010078891,10,1.0,0.01646892466703139,0.16388305117451302,0.3671838376162419,0.5863148617244912,10,1.0,20,1.0
100,5,3,1,0.0003203960730892564,0.040190100883922705,0.06571872833003412,0.12279708168776701,10,1.0,0.0013322641556619184,0.06505685167850289,0.12364582932842694,0.048162959532759515,10,1.0,20,1.0
100,5,4,0,0.0034359476686288562,0.11562749319920487,0.17765516695073513,0.5361811861156368,10,1.0,0.03198799632862414,0.20184952228894587,0.4731448173576709,0.3037365051269603,10,1.0,20,1.0
100,5,4,1,0.00138837733879588,0.06947346622627092,0.12874514773820478,0.22646214339279616,10,1.0,0.011513262675903312,0.1315919801967338,0.3585470127935805,0.3551361907890483,10,1.0,20,1.0
100,5,5,0,0.006566057346475041,0.16287950698484735,0.2363607895748041,0.5327104020873229,10,1.0,0.045108708242532436,0.23962755072774017,0.5026768300180187,0.22656864972659524,10,1.0,20,1.0
100,5,5,1,0.005013001485152458,0.13037038989668476,0.214128660386545,0.5170556155042698,10,1.0,0.024312808097469378,0.1843249602022138,0.4603189097207647,0.35315237551327844,10,1.0,20,1.0
100,7,1,0,0.00030953868277975736,0.04469431096293937,0.05308054729392364,0.09157903675286669,10,1.0,0.02635700224311701,0.22035046532244135,0.4460707437530311,0.33373755806201794,10,1.0,20,1.0
100,7,1,1,0.00020656335071132147,0.03265856916801771,0.045131431049971416,0.30438522952031943,10,1.0,0.0006101889665389746,0.047190121114969515,0.08941391712845714,0.26448160117666797,10,1.0,20,1.0
100,7,2,0,9.485671683021862e-05,0.032383378600709015,0.02998811143224822,0.26805860324672603,10,1.0,0.009633298729773743,0.1341571894746803,0.29792039944233595,0.5124642704545047,10,1.0,20,1.0
